nbCamions 535
203 3 10 9 12
204 1 5
205 1 5
206 1 5
207 1 15
208 4 8 16 7 14
209 1 10
210 3 10 9 12
211 1 5
212 1 5
213 1 10
214 1 5
215 1 6
216 1 5
217 1 5
218 1 5
219 1 5
220 1 5
221 1 5
222 1 5
223 1 5
224 1 5
225 1 5
226 1 5
227 1 5
228 1 2
229 1 5
230 1 2
231 1 5
232 1 5
233 1 5
234 1 5
235 1 5
236 1 5
237 1 5
238 1 5
239 1 5
240 4 8 16 7 14
241 1 5
242 1 5
243 1 5
244 4 8 16 7 14
245 3 10 9 12
246 1 5
247 1 8
248 1 2
249 1 5
250 1 10
251 1 10
252 1 5
253 1 5
254 1 5
255 1 5
256 3 10 9 12
257 1 5
258 1 5
259 1 5
260 1 5
261 1 5
262 1 5
263 1 5
264 1 5
265 3 10 9 12
266 1 5
267 1 5
268 1 5
269 1 5
270 3 11 17 13
271 1 5
272 1 17
273 1 2
274 1 5
275 1 11
276 1 5
277 1 5
278 1 11
279 1 5
280 1 5
281 1 5
282 1 5
283 1 5
284 1 5
285 1 11
286 1 5
287 1 5
288 1 5
289 1 5
290 1 5
291 1 5
292 1 5
293 1 5
294 1 15
295 1 5
296 1 5
297 1 5
298 1 5
299 1 5
300 1 5
301 1 5
302 1 15
303 1 5
304 1 5
305 1 5
306 1 5
307 1 5
308 1 5
309 1 5
310 1 11
311 1 5
312 1 18
313 1 5
314 1 15
315 1 5
316 1 5
317 1 5
318 1 5
319 1 5
320 1 5
321 1 5
322 1 5
323 1 5
324 1 5
325 1 5
326 1 5
327 1 15
328 1 5
329 1 5
330 1 10
331 1 5
332 1 5
333 1 5
334 4 8 16 7 14
335 1 5
336 1 5
337 1 5
338 1 11
339 1 5
340 1 5
341 1 5
342 3 6 3 4
343 1 5
344 1 5
345 2 6 3
346 1 5
347 1 5
348 1 1
349 1 5
350 1 5
351 1 5
352 1 5
353 1 15
354 1 15
355 1 5
356 1 5
357 1 2
358 1 2
359 2 11 13
360 1 5
361 1 5
362 1 5
363 1 5
364 1 5
365 1 5
366 1 5
367 1 5
368 1 5
369 1 5
370 1 5
371 1 1
372 2 6 3
373 1 5
374 1 1
375 1 5
376 1 11
377 1 5
378 1 5
379 1 5
380 1 2
381 1 5
382 1 2
383 2 11 13
384 1 5
385 1 5
386 1 5
387 1 5
388 1 1
389 1 5
390 1 15
391 1 5
392 1 5
393 1 5
394 1 5
395 1 5
396 1 17
397 1 5
398 1 5
399 1 5
400 1 5
401 1 5
402 1 5
403 1 5
404 1 5
405 1 5
406 3 10 9 12
407 1 5
408 4 8 16 7 14
409 1 5
410 1 10
411 3 6 3 4
412 2 11 13
413 3 11 17 13
414 1 17
415 3 11 17 13
416 1 5
417 1 6
418 1 5
419 1 5
420 3 6 3 4
421 1 5
422 1 5
423 1 17
424 3 11 17 13
425 1 15
426 1 5
427 1 5
428 1 5
429 1 5
430 1 5
431 1 2
432 1 5
433 1 2
434 1 5
435 1 5
436 1 5
437 1 5
438 1 5
439 1 5
440 1 5
441 1 5
442 1 5
443 1 5
444 1 5
445 1 5
446 1 5
447 1 5
448 1 5
449 3 6 3 4
450 1 5
451 1 1
452 1 5
453 1 5
454 1 5
455 1 6
456 1 5
457 1 11
458 2 11 13
459 1 5
460 1 11
461 1 5
462 1 5
463 1 5
464 1 5
465 1 11
466 4 8 16 7 14
467 1 5
468 3 6 3 4
469 1 5
470 1 5
471 1 5
472 3 10 9 12
473 3 6 3 4
474 1 5
475 1 17
476 3 11 17 13
477 1 1
478 1 15
479 1 5
480 1 6
481 1 5
482 1 5
483 1 5
484 1 5
485 1 5
486 3 11 17 13
487 1 5
488 1 5
489 1 5
490 1 17
491 1 5
492 1 2
493 1 11
494 1 5
495 1 1
496 1 5
497 3 11 17 13
498 1 5
499 1 17
500 1 5
501 3 11 17 13
502 1 5
503 1 1
504 3 6 3 4
505 1 5
506 1 5
507 1 5
508 1 15
509 1 5
510 1 1
511 1 17
512 3 10 9 12
513 3 11 17 13
514 3 11 17 13
515 4 8 16 7 14
516 1 17
517 1 5
518 1 5
519 1 15
520 1 5
521 1 10
522 1 5
523 1 2
524 1 5
525 4 8 16 7 14
526 1 5
527 3 10 9 12
528 1 5
529 3 11 17 13
530 1 17
531 1 17
532 1 17
533 3 11 17 13
534 1 2
